Date,Date,Open,High,Low,Close,Volume,Adj Close
2016-08-24,42606,18537.5,18539.15039,18448.26953,18481.48047,72270000,18481.48047
2016-08-23,42605,18568.93945,18631.59961,18545.51953,18547.30078,73990000,18547.30078
2016-08-22,42604,18535.85938,18570.91992,18466.85938,18529.41992,73450000,18529.41992
2016-08-19,42601,18585.16992,18585.16992,18491.24023,18552.57031,93170000,18552.57031
2016-08-18,42600,18566.53906,18600.82031,18533.28906,18597.69922,70740000,18597.69922
2016-08-17,42599,18537.08984,18582.34961,18468.67969,18573.93945,71000000,18573.93945
2016-08-16,42598,18614.48047,18614.85938,18550.65039,18552.01953,67570000,18552.01953
2016-08-15,42597,18588.58984,18722.60938,18559.92969,18636.05078,62350000,18636.05078
2016-08-12,42594,18595.65039,18606.06055,18535.85938,18576.4707,61580000,18576.4707
2016-08-11,42593,18519.08008,18638.33984,18519.08008,18613.51953,71470000,18613.51953
2016-08-10,42592,18541.48047,18561.75,18468.7793,18495.66016,62780000,18495.66016
2016-08-09,42591,18538.05078,18585.32031,18507.75,18533.05078,60090000,18533.05078
2016-08-08,42590,18541.89063,18569.31055,18502.0293,18529.28906,71810000,18529.28906
2016-08-05,42587,18402.80078,18543.5293,18402.80078,18543.5293,92420000,18543.5293
2016-08-04,42586,18351.42969,18397.86914,18325.16992,18352.05078,64500000,18352.05078
2016-08-03,42585,18313.08008,18355,18283.23047,18355,78550000,18355
2016-08-02,42584,18401.15039,18403.65039,18247.78906,18313.76953,89680000,18313.76953
2016-08-01,42583,18434.5,18467.0293,18355.75,18404.50977,83470000,18404.50977
2016-07-29,42580,18442.51953,18466.55078,18371.11914,18432.24023,111550000,18432.24023
2016-07-28,42579,18461.00977,18483.25977,18368.82031,18456.34961,85750000,18456.34961
2016-07-27,42578,18473.26953,18542.39063,18430.93945,18472.16992,111370000,18472.16992
2016-07-26,42577,18497.36914,18522.4707,18387.2207,18473.75,85370000,18473.75
2016-07-25,42576,18554.49023,18555.68945,18452.61914,18493.06055,76810000,18493.06055
2016-07-22,42573,18524.15039,18571.30078,18491.58984,18570.84961,87710000,18570.84961
2016-07-21,42572,18589.96094,18590.43945,18469.66992,18517.23047,86800000,18517.23047
2016-07-20,42571,18582.69922,18622.00977,18555.65039,18595.0293,93230000,18595.0293
2016-07-19,42570,18503.11914,18562.5293,18495.10938,18559.00977,85840000,18559.00977
2016-07-18,42569,18521.55078,18556.13086,18489.83984,18533.05078,75540000,18533.05078
2016-07-15,42566,18508.88086,18557.42969,18471.61914,18516.55078,123690000,18516.55078
2016-07-14,42565,18414.30078,18537.57031,18414.30078,18506.41016,87050000,18506.41016
2016-07-13,42564,18356.7793,18390.16016,18315.75977,18372.11914,80920000,18372.11914
2016-07-12,42563,18259.11914,18371.94922,18259.11914,18347.66992,90170000,18347.66992
2016-07-11,42562,18161.5293,18283.90039,18161.5293,18226.92969,80880000,18226.92969
2016-07-08,42559,17971.2207,18166.76953,17971.2207,18146.74023,93460000,18146.74023
2016-07-07,42558,17924.24023,17984.94922,17816.65039,17895.88086,81570000,17895.88086
2016-07-06,42557,17807.4707,17926.91016,17713.44922,17918.61914,93000000,17918.61914
